"complex_id","currA","maxA","lgmA","maxA_yngOa","maxA_oldOa","t_habitable_min","t_habitable_max","t_maxA_min","t_maxA_max","t_habitable_mean","t_maxA_mean","t1_sG_oldIsl","t2_sG_oldIsl","t1_lG_oldIsl","t2_lG_oldIsl","t1_sG_yngIsl","t2_sG_yngIsl","t1_lG_yngIsl","t2_lG_yngIsl","t1_mean","t2_mean"
"Hawaii",10433.55,10433.55,11150.8952611752,10433.55,10433.55,1.1,1.3,0,0,1.2,0,1.3,0,1.3,0,1.1,0,1.1,0,1.2,0
"Maui Nui",3154.89,13500,5913.06902758664,13500,13500,2.1,3,0.96,1.1,2.55,1.03,1.9,1.1,2.04,0.96,1,1.1,1.14,0.96,1.52,1.03
"Oahu",1547.88,4121.29781243809,2399.94764447215,3837.35206599951,4366.05104739641,3.93,4.34,0.8,1.8,4.135,1.3,2.54,1.8,3.54,0.8,2.13,1.8,3.13,0.8,2.835,1.3
"Kauai",1605.68,3787.11358534839,1955.15900310729,3787.11358534839,3787.11358534839,6,6.3,3.65,4,6.15,3.825,2.3,4,2.65,3.65,2,4,2.35,3.65,2.325,3.825
